,Date,Volume,Open,High,Low,Close,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,EMA_200,MACD_Line,MACD_Signal,MACD_Hist,RSI_7,RSI_14,RSI_21,ROC_12,ATR_14,BB_Middle_20,BB_Upper_20,BB_Lower_20,StochK_14,StochD_14,KDJ_K_14,KDJ_D_14,KDJ_J_14,OBV,CMF_20,NADAQ CLOSE
11,2025-08-20,215142700.0,175.165,176.0,168.801,175.4,,,,173.5324947749707,170.39687658346915,167.99000764207193,2.836223215066269,2.450667799303755,0.3855554157625143,51.49358356952248,,,,,,,,,,,,,876962500.0,,21172.86
12,2025-08-19,185229200.0,182.43,182.5,175.49,175.64,,,,173.7332095583068,170.60248926647037,168.0661269690165,2.6471797593327437,2.4899701913095527,0.15720956802319108,52.68126658732661,,,5.161058555861553,,,,,,,,,,1062191700.0,,21314.95
13,2025-08-18,132008000.0,180.6,182.9375,180.59,182.01,,,,174.52147531465855,171.04984262856956,168.20487197429992,2.9770496471844297,2.587386082484528,0.3896635646999016,73.08663225738579,72.83848446136828,,6.029360363509251,5.7018170531194245,,,,,,,,,1194199700.0,,21629.77
14,2025-08-15,156602200.0,181.88,181.9,178.0417,180.45,,,,175.0860967132625,171.4184762509786,168.3267140442074,3.0771237798638538,2.6853336219603934,0.3917901579034604,65.0694729197068,67.32903923401463,,5.761340991677399,5.577994406468037,,,,,,,,,1037597500.0,,21622.98
15,2025-08-14,129554000.0,179.75,183.02,179.46,182.02,,,,175.74646845485654,171.834222280352,168.46296564575758,3.2457046669504166,2.7974078309583983,0.4482968359920183,69.05507423323229,69.80446251329835,,6.581566928211746,5.433851948863178,,,,83.47797669746785,,83.47797669746785,,,1167151500.0,,21710.67
16,2025-08-13,179871700.0,182.615,183.97,179.35,181.59,,,,176.30299526867972,172.21680179876958,168.59358290301373,3.3064936278649384,2.8992249903397065,0.4072686375252319,66.6259608182776,68.27856475543099,,4.254219772648993,5.375719666801523,,,,81.9323671492835,,81.9323671492835,,,987279800.0,,21713.14
17,2025-08-12,145729200.0,182.96,184.48,179.46,183.16,,,,176.95604333832927,172.6459468262688,168.73852237661558,3.4416816328223376,3.007716318836233,0.43396531398610483,70.97507916879309,70.78929559679597,,1.6595437642226818,5.350311119172841,,,,86.89418166898143,84.10150850524427,86.89418166898143,84.10150850524427,92.47952799645574,1133009000.0,,21681.9
18,2025-08-11,138323200.0,182.05,183.84,180.25,182.06,,,,177.44213444896457,173.01512538210142,168.87107439276866,3.4206274300644566,3.0902985410818777,0.33032888898257884,64.14259259611879,66.79995414920896,,0.2533039647577118,5.224574610660496,,,,86.48359524502058,85.1033813544285,86.48359524502058,85.1033813544285,89.24402302620473,994685800.0,,21385.4
19,2025-08-08,123396700.0,181.55,183.3,180.4,182.7,177.78050000000002,,,177.94288354906317,173.39492438672488,169.00867564259187,3.416204593942865,3.1554797516540756,0.26072484228878956,66.34195057611305,67.93228566869189,,0.5116355834295927,5.05853356704189,177.78050000000002,187.5560430055129,168.00495699448715,88.26455768806518,87.2141115340224,88.26455768806518,87.2141115340224,90.36544999615077,1118082500.0,0.20025727171959545,21450.02
20,2025-08-07,151878400.0,181.57,183.88,178.795,180.77,178.46800000000002,,,178.21213273486669,173.68414303822587,169.12570374565067,3.219848188503562,3.168353439023973,0.051494749479588986,54.56672910490752,61.158186776091576,63.29280522835357,0.5338968911628994,5.0604240265388984,178.46800000000002,186.8986648298746,170.03733517012543,83.18345132502176,85.97720141936918,83.18345132502176,85.97720141936918,77.59595113632693,966204100.0,0.18257084861615827,21242.7
21,2025-08-06,137192300.0,176.325,179.9,176.25,179.42,178.85600000000002,,,178.32716771249844,173.90907860535427,169.22813455415167,2.921621965569585,3.1190071443330956,-0.19738517876351036,47.66297598825639,56.88516166732872,59.78985772832942,0.8034159222428006,5.02182231035755,178.85600000000002,186.65826795638026,171.0537320436198,77.57084848048835,83.00628583119176,77.57084848048835,83.00628583119176,66.69997377908155,829011800.0,0.1778180556645823,21169.42
22,2025-08-05,156407600.0,179.62,180.26,175.9,178.26,179.238,,,178.3207707874986,174.07970297377176,169.31800386207055,2.562138492153281,3.007633413897133,-0.44549492174385197,42.29821496241497,53.43069825138131,56.94632328688568,1.8744999428506048,4.974549288189152,179.238,186.0244124310427,172.4515875689573,68.13147096922769,76.29525692491261,68.13147096922769,76.29525692491261,51.803899057857876,672604200.0,0.18252992971271575,20916.55
23,2025-08-04,148174600.0,175.16,180.2,174.52,180.0,179.699,,,178.48069737916538,174.31187148460424,169.42429238085592,2.39009715552055,2.8841261622218166,-0.4940290067012665,51.79358893523333,57.59091925434592,59.946533208593515,2.6225769669327326,5.024938624747069,179.699,185.19647463554142,174.2015253644586,66.49446180623876,70.7322604186516,66.49446180623876,70.7322604186516,58.018864581413084,820778800.0,0.2016273928788856,21053.58
24,2025-08-01,204529000.0,174.09,176.54,170.89,173.72,179.676,,,178.02729762876868,174.28866083814918,169.4670357402504,1.7271006991214222,2.652721069601738,-0.9256203704803156,30.594321987643482,42.747791198665944,47.42292598471653,-1.0931450694602551,5.3167287229794225,179.676,185.2736325822901,174.07836741770987,54.376342028269015,63.00075826791183,54.376342028269015,63.00075826791183,37.12750954898338,616249800.0,0.2464360866866143,20650.13
25,2025-07-31,221685400.0,182.9,183.3,175.93,177.87,179.561,,,178.01231690221928,174.42910551116296,169.55064732492454,1.5190311028073324,2.425983076242857,-0.9069519734355245,47.24242940399207,51.62135817677867,54.07948609108851,-2.2746002966869905,5.621248099909465,179.561,185.21016724184335,173.91183275815666,51.387072844459226,57.419292226322334,51.387072844459226,57.419292226322334,39.32263408073301,837935200.0,0.22487178166512423,21122.45
26,2025-07-30,174312200.0,176.51,179.89,176.04,179.27,179.4445,,,178.13209624486507,174.6189445107252,169.64735730179098,1.4503836287400702,2.2308631867422997,-0.7804795580022295,51.79339108705775,54.20025331538894,56.05044323883138,-0.6539207536713665,5.49473037848736,179.4445,185.01213003534954,173.87686996465047,48.132485623087014,51.298633498605085,48.132485623087014,51.298633498605085,41.80018987205088,1012247400.0,0.2310604765907033,21129.67
27,2025-07-29,154077500.0,177.96,179.38,175.02,175.51,179.1315,,,177.88237279297314,174.65388786324579,169.705692055007,1.0801283869068925,2.0007162267752183,-0.9205878398683258,40.77298702593276,46.96001687996552,49.998727724878826,-3.57653005164269,5.413678208595405,179.1315,184.850459327489,173.41254067251097,49.00662251619578,49.50872699458068,49.00662251619578,49.50872699458068,48.00241355942599,858169900.0,0.16098854344075494,21098.29
28,2025-07-28,140023500.0,174.02,177.0,173.97,176.75,178.9785,,,177.77452776507093,174.73608833919693,169.7757846713751,0.8766505947366454,1.7759031003675039,-0.8992525056308585,45.254762975372806,49.36240423572836,51.800760869046044,-2.6653450079850205,5.243415479410019,178.9785,184.78410264789653,173.17289735210346,46.25950453730993,47.799537558864245,46.25950453730993,47.799537558864245,43.17943849420129,998193400.0,0.18774835159424672,21178.58
